# Live structured-log sample: domain events during a real burst run

Captured 2026-09-12 via the Render API's log endpoint immediately after running
`./burst.sh https://wallet-transfer-8e1o.onrender.com burst-token` (Probe 3: 300 concurrent
transfers across 5 wallets) against the live deployed app. This is the tail of Render's
retained log history (its most recent ~100 lines), reformatted to show just the domain-event
message and correlation id per line — see docs/writeup.md and PROGRESS.md for the full
burst-run results and the fixes that got the deployment to a clean PASS.

Render doesn't offer a public/shareable log URL the way the original plan assumed (its "Log
Streams" feature forwards to a third-party provider like Datadog, not a public link) — its
dashboard logs require login the same as Fly's did. This committed transcript is the substitute:
real logs, publicly readable via the repo, just not a live-watchable stream.

Format: <timestamp>  <domain event>  [correlation_id=<id>]

2026-09-12T12:07:50.848995424Z  transfer.credited transfer_id=3214 wallet=569 balance_after=54303  [correlation_id=b04b3b82-2b28-49f4-bcc4-6bbc06fbc37d]
2026-09-12T12:07:50.941339705Z  transfer.created transfer_id=3219 idempotency_key=burst-cons-e86cd0f8-eef4-4c89-8b41-c5d4c19d2581 from_wallet=570 to_wallet=569 amount_paise=18643  [correlation_id=5ba6d7e8-f045-4aab-bcd1-3bace7fef01a]
2026-09-12T12:07:50.941338795Z  transfer.debited transfer_id=3208 wallet=571 balance_after=6881  [correlation_id=1b0f9cae-e209-4c02-8dd4-5092dae259f1]
2026-09-12T12:07:50.94400213Z  transfer.created transfer_id=3220 idempotency_key=burst-cons-4ae62be3-d67f-4946-aeb4-ef285d2e45c4 from_wallet=568 to_wallet=569 amount_paise=15551  [correlation_id=8df917a1-1c7c-4bc9-adfa-e3cb6f82b41f]
2026-09-12T12:07:50.944899389Z  transfer.credited transfer_id=3219 wallet=569 balance_after=72946  [correlation_id=5ba6d7e8-f045-4aab-bcd1-3bace7fef01a]
2026-09-12T12:07:50.945718014Z  transfer.declined_insufficient_funds transfer_id=3220  [correlation_id=8df917a1-1c7c-4bc9-adfa-e3cb6f82b41f]
2026-09-12T12:07:50.946721639Z  transfer.debited transfer_id=3216 wallet=567 balance_after=81764  [correlation_id=2d3db740-e2bd-4954-aaa4-8d59010d946f]
2026-09-12T12:07:50.946972813Z  transfer.debited transfer_id=3219 wallet=570 balance_after=64808  [correlation_id=5ba6d7e8-f045-4aab-bcd1-3bace7fef01a]
2026-09-12T12:07:50.94782922Z  transfer.credited transfer_id=3216 wallet=568 balance_after=28601  [correlation_id=2d3db740-e2bd-4954-aaa4-8d59010d946f]
2026-09-12T12:07:50.948186549Z  transfer.created transfer_id=3221 idempotency_key=burst-cons-254c13a0-6691-4f11-bb96-aa093e939a0a from_wallet=567 to_wallet=570 amount_paise=35580  [correlation_id=2cc544ba-ec55-466d-968d-4d8c8e672634]
2026-09-12T12:07:50.949723623Z  transfer.created transfer_id=3222 idempotency_key=burst-cons-73fddcd1-547c-4347-b016-77b7e81232ee from_wallet=571 to_wallet=570 amount_paise=5967  [correlation_id=b98005bb-71f1-4deb-a434-ad6561ceed09]
2026-09-12T12:07:50.950076362Z  transfer.created transfer_id=3223 idempotency_key=burst-cons-5e6561cc-8f64-4660-9b41-e8f7f2420ad6 from_wallet=569 to_wallet=570 amount_paise=14078  [correlation_id=a3c55e31-7019-4074-aa9b-f3e432662eb5]
2026-09-12T12:07:50.950468894Z  transfer.credited transfer_id=3211 wallet=567 balance_after=90834  [correlation_id=75f82a5a-87f0-4a63-b625-dcfe8ae5454c]
2026-09-12T12:07:50.951802767Z  transfer.debited transfer_id=3223 wallet=569 balance_after=58868  [correlation_id=a3c55e31-7019-4074-aa9b-f3e432662eb5]
2026-09-12T12:07:50.951954295Z  transfer.credited transfer_id=3222 wallet=570 balance_after=70775  [correlation_id=b98005bb-71f1-4deb-a434-ad6561ceed09]
2026-09-12T12:07:50.952677095Z  transfer.debited transfer_id=3222 wallet=571 balance_after=914  [correlation_id=b98005bb-71f1-4deb-a434-ad6561ceed09]
2026-09-12T12:07:51.014241932Z  transfer.created transfer_id=3224 idempotency_key=burst-cons-bcf7de5f-8a41-48ee-8387-044af5ec364d from_wallet=568 to_wallet=567 amount_paise=30829  [correlation_id=db4d2b94-93d6-4c3f-8187-73a0ad187a9a]
2026-09-12T12:07:51.044219131Z  transfer.debited transfer_id=3211 wallet=570 balance_after=61705  [correlation_id=75f82a5a-87f0-4a63-b625-dcfe8ae5454c]
2026-09-12T12:07:51.048192619Z  transfer.created transfer_id=3225 idempotency_key=burst-cons-3601a3b2-e7ed-4cd3-9a5e-246b7d8ecf30 from_wallet=567 to_wallet=569 amount_paise=20199  [correlation_id=fce49f2d-c621-4481-977a-9f9d7f6d7fb5]
2026-09-12T12:07:51.049415946Z  transfer.created transfer_id=3226 idempotency_key=burst-cons-6a3c30a2-4ff4-46ea-b220-af7e684b9165 from_wallet=570 to_wallet=567 amount_paise=309  [correlation_id=b5fec222-6994-43be-b461-8be86c7c91fc]
2026-09-12T12:07:51.05150118Z  transfer.debited transfer_id=3194 wallet=567 balance_after=70246  [correlation_id=78f50253-ba1d-4590-ac1e-64accdedd5a6]
2026-09-12T12:07:51.053530141Z  transfer.credited transfer_id=3223 wallet=570 balance_after=75783  [correlation_id=a3c55e31-7019-4074-aa9b-f3e432662eb5]
2026-09-12T12:07:51.056042788Z  transfer.credited transfer_id=3194 wallet=570 balance_after=96371  [correlation_id=78f50253-ba1d-4590-ac1e-64accdedd5a6]
2026-09-12T12:07:51.059684867Z  transfer.debited transfer_id=3225 wallet=567 balance_after=50047  [correlation_id=fce49f2d-c621-4481-977a-9f9d7f6d7fb5]
2026-09-12T12:07:51.060243018Z  transfer.credited transfer_id=3225 wallet=569 balance_after=79067  [correlation_id=fce49f2d-c621-4481-977a-9f9d7f6d7fb5]
2026-09-12T12:07:51.062326782Z  transfer.created transfer_id=3227 idempotency_key=burst-cons-c48919dc-27da-480f-89fe-f675d7e6333f from_wallet=570 to_wallet=567 amount_paise=36900  [correlation_id=17ea1447-9401-4b5c-8927-43b2e5f0abc5]
2026-09-12T12:07:51.143821139Z  transfer.credited transfer_id=3218 wallet=567 balance_after=77533  [correlation_id=75a215bc-ebab-4751-9f09-4e2821eb111a]
2026-09-12T12:07:51.144822333Z  transfer.created transfer_id=3228 idempotency_key=burst-cons-d9ad9cd7-f3ab-4918-97b8-6b8dc743c38a from_wallet=571 to_wallet=568 amount_paise=10310  [correlation_id=9ebeeb4e-f869-4a55-899e-c5d1a0ad639b]
2026-09-12T12:07:51.145924854Z  transfer.credited transfer_id=3228 wallet=568 balance_after=38911  [correlation_id=9ebeeb4e-f869-4a55-899e-c5d1a0ad639b]
